question,answer,explain,category,level
ベクトル図形は、どれだけ拡大してもギザギザにならない。 (y/n),y,ベクトルは数式で形を表現するので拡大しても滑らか。,CAD,1
ラスター図形はピクセルの集まりで表現される。 (y/n),y,ラスター＝ピクセル。拡大すると荒れる。,CAD,1
レイヤ（画層）は、図形を種類ごとに分けて管理しやすくするための機能である。 (y/n),y,レイヤを分けることで、表示/非表示や印刷のON/OFFを切り替えやすくなる。,CAD,1
寸法線は、実際の形状を表す線なので、他の図形より太く描くのが原則である。 (y/n),n,寸法線は寸法を示すための線で、形状の外形線より細くするのが一般的。,CAD,1
製図における細線と太線の太さ比は一般に1:2である。 (y/n),y,JIS製図の基本。,製図,2
クライアント/サーバ方式でサービス提供側はクライアントである。 (y/n),n,提供側＝サーバ、利用側＝クライアント。,PC,1
三角形の内角の和は180度である。 (y/n),y,平面幾何の基本。,図形,1
クライアント/サーバ方式では、図面データを提供する側をクライアントと呼ぶ。 (y/n),n,提供する側＝サーバ、利用する側＝クライアントだね。,PC,1
CADを使うと、線の太さや文字の大きさが揃って、手書きより個人差の少ない図面にしやすい。 (y/n),y,CADでは線種や文字をコンピュータが制御するので、誰が描いても同じスタイルで出せる。,CAD,
CADデータの保存形式として、主に使われるのはベクトルデータである。 (y/n),y,線や円などを数値で表すベクトル形式が、図面データでは基本になる。,CAD,
一般的なコンピュータでは、1文字の漢字は1バイトだけで表現している。 (y/n),n,漢字は複数バイト(2バイト以上)で表すのが普通。1バイト文字は英数字など。,PC,
CD-RWは、データを書き込んだあとに消去したり、書き直したりできる。 (y/n),y,CD-Rは一度だけ書き込み、CD-RWは書き換え可能という違いがある。,PC,
USBは、パソコンの電源を入れたまま機器の抜き差しができる『ホットプラグ』に対応したインタフェースである。 (y/n),y,USBやThunderboltなどはホットプラグ対応。PCI ExpressやAGPはそういう前提ではない。,PC,
AppleのMac専用OSの名前は Linux である。 (y/n),n,Mac専用OSは macOS。Linuxは別系統のオープンソースOS。,PC,
マウスのボタンを押したままカーソルを動かす操作はドラッグと呼ばれる。 (y/n),y,ポイント＝重ねる、クリック＝押して離す、ドラッグ＝押したまま動かす。,PC,
クライアントサーバシステムでは、サービスを提供する側をクライアントと呼ぶ。 (y/n),n,提供側がサーバ、利用する側がクライアントという名前になる。,PC,
製図における細線と太線の太さの比は、おおむね 1:2 で設定される。 (y/n),y,JIS製図では細線:太線の太さ比を1:2とするのが標準。,図形,
尺度が3:1のとき、図面上の寸法のほうが実物より大きく描かれている。 (y/n),y,"倍尺(拡大図)は 2:1, 3:1 のように図面が実物より大きい比率になる。",図形,
